"cc";"aggcode";"aggname";"typeofsensitivearea";"sizecat";"generatedload_10th";"generatedload_9th";"generatedload_delta";"connectedload_10th";"connectedload_9th";"iasload_10th";"iasload_9th";"dischargewithouttreatment_10th";"dischargewithouttreatment_9th";"gp_10th";"art3_10th";"art4_10th";"art5_10th";"art6_10th";"dtt3_10th";"dtt4t_10th";"dtt4p_10th";"dtt5t_10th";"dtt5p_10th";"gp_9th";"art3_9th";"art4_9th";"art5_9th";"art6_9th";"dtt3_9th";"dtt4t_9th";"dtt4p_9th";"dtt5t_9th";"dtt5p_9th";"flagginv";"flaggmeasures";"nb_uwwtp";"nb_uwwtp_conn";"nb_dcp";"near_natura2000_uww_impacted";"near_natura2000_uww_impacted_intensity";"wfd_ecologicalstatus";"wfd_chemicalstatus";"wfd_uwwtd_status_point_p11";"wfd_uwwtd_status_point_p12";"wfd_uwwtd_status_diffuse_p26";"spztype_catchmentOfSensitiveArea";"spztype_coastalSensitiveArea";"spztype_lakeSensitiveArea";"spztype_otherProtectedArea";"spztype_riverSensitiveArea";"spztype_transitionalSensitiveArea";"spztype_freshwaterFishDesignatedWater";"spztype_shellfishDesignatedWater";"spztype_drinkingWaterProtectionArea";"spztype_nitrateVulnerableZone";"score";"status";"x";"y"
"bg";"BGAG14218_00";"Gabrovo";"CSA";2;80400;80400;0;80014;77184;0;0;386;3216;"NC";"C";"NC";"NC";"NR";386;2830;2830;2830;2830;"NC";"NC";"NC";"NC";"NR";3216;804;77184;804;77184;1,29;"Building of a collecting system or IAS";1;1;1;0;;"4";"2";0;0;1;1;0;0;0;0;0;0;0;1;0;;1;25,31;42,87
"bg";"BGAG14831_00";"German";"CSA";1;2628;2628;0;0;0;1840;0;788;2628;"NC";"NC";"NC";"NR";"NR";788;0;0;0;0;"NC";"NC";"NR";"NR";"NR";2628;0;0;0;0;10,41;"Building of a collecting system or IAS";1;1;1;0;;"5";"3";0;0;1;1;0;0;0;0;0;0;0;1;0;;1;23,40;42,60
"bg";"BGAG21912_00";"Dolni chiflik";"CSA";1;6340;6476;-136;3107;5181;3107;0;127;1295;"NC";"QC";"NC";"NR";"NR";127;0;3107;0;0;"NC";"NC";"NC";"NR";"NR";1295;0;5181;0;0;11,43;"Replacement of IAS by collection";1;1;1;0;;"3";"-1";0;1;0;1;0;0;0;0;0;0;0;1;0;;1;27,72;42,99
"bg";"BGAG22215_00";"Dolna Mitropoliya";"CSA";1;2973;2973;0;0;0;2914;0;59;2973;"NR";"QC";"NR";"NR";"NR";59;0;0;0;0;"NC";"NC";"NR";"NR";"NR";2973;0;0;0;0;6,64;"Building a conection to WWTP, building of a collecting system or IAS";1;1;1;0;;"3";"2";0;0;1;1;0;0;0;0;0;0;0;1;0;;1;24,52;43,46
"bg";"BGAG22232_00";"Dolna Oriahovica";"CSA";1;2937;2937;0;1850;1850;1028;0;59;1087;"NC";"QC";"NC";"NR";"NR";59;1850;1850;0;0;"NC";"NC";"NC";"NR";"NR";1087;0;0;0;0;3,78;"Building of a collecting system or IAS, construction connection to WWTP";1;1;1;0;;"3";"2";0;0;1;1;0;0;0;0;0;0;0;1;0;;1;25,73;43,15
"bg";"BGAG24030_00";"Dulovo";"CSA";1;8741;8721;20;3584;4012;4982;0;175;4709;"NC";"QC";"NC";"NR";"NR";175;3584;3584;0;0;"NC";"NC";"NC";"NR";"NR";4709;4012;4012;0;0;11,55;"Replacement of IAS by collection";1;1;1;0;;"2";"2";0;0;0;1;0;0;0;0;0;0;0;1;0;;1;27,14;43,82
"bg";"BGAG27303_00";"Elin Pelin";"CSA";2;10474;10474;0;8641;8693;52;0;1781;1781;"NC";"NC";"NC";"NC";"NR";1781;8641;7122;8641;8641;"NC";"NC";"NC";"NC";"NR";1781;8693;7122;8693;8693;2,60;"Building of collecting system or IAS, Renewal or reconstruction of the collecting system";1;1;1;0;;"4";"-1";0;0;1;1;0;0;0;0;0;0;0;1;0;;1;23,60;42,66
"bg";"BGAG32901_00";"Ihtiman";"CSA";2;12812;12812;0;10250;10250;2306;0;256;2562;"NC";"QC";"C";"NC";"NR";256;0;0;10250;10250;"NC";"NC";"NC";"NC";"NR";2562;0;10250;10250;10250;3,69;"Replacement of IAS by collection";1;1;1;0;;"3";"-1";0;0;0;1;0;0;0;0;0;0;0;1;0;;1;23,81;42,43
"bg";"BGAG35064_00";"Kavarna";"SA";2;12440;12831;-391;7464;6031;4727;0;249;6800;"NC";"QC";"C";"NC";"NR";249;0;0;7464;7464;"NC";"NC";"NC";"NC";"NR";6800;0;0;6031;6031;5,87;"Replacement of IAS by collection";1;1;1;1;3;"3";"-1";0;0;0;1;0;0;0;0;0;1;1;1;0;;1;28,33;43,43
"bg";"BGAG35239_00";"Kazichene";"CSA";1;4737;4737;0;0;0;2842;0;1895;4737;"NC";"NC";"NC";"NR";"NR";1895;0;0;0;0;"NC";"NC";"NR";"NR";"NR";4737;0;0;0;0;52,98;"Building of a collecting system or IAS";1;1;1;0;;"5";"3";0;0;1;1;0;0;0;0;0;0;0;1;0;;1;23,46;42,65
