cc,aggcode,aggname,typeofsensitivearea,sizecat,generatedload_10th,generatedload_9th,generatedload_delta,connectedload_10th,connectedload_9th,iasload_10th,iasload_9th,dischargewithouttreatment_10th,dischargewithouttreatment_9th,gp_10th,art3_10th,art4_10th,art5_10th,art6_10th,dtt3_10th,dtt4t_10th,dtt4p_10th,dtt5t_10th,dtt5p_10th,gp_9th,art3_9th,art4_9th,art5_9th,art6_9th,dtt3_9th,dtt4t_9th,dtt4p_9th,dtt5t_9th,dtt5p_9th,flagginv,flaggmeasures,nb_uwwtp,nb_uwwtp_conn,nb_dcp,near_natura2000_uww_impacted,near_natura2000_uww_impacted_intensity,wfd_ecologicalstatus,wfd_chemicalstatus,wfd_uwwtd_status_point_p11,wfd_uwwtd_status_point_p12,wfd_uwwtd_status_diffuse_p26,spztype_catchmentOfSensitiveArea,spztype_coastalSensitiveArea,spztype_lakeSensitiveArea,spztype_otherProtectedArea,spztype_riverSensitiveArea,spztype_transitionalSensitiveArea,spztype_freshwaterFishDesignatedWater,spztype_shellfishDesignatedWater,spztype_drinkingWaterProtectionArea,spztype_nitrateVulnerableZone,score,status,x,y
ro,ROAG_178698,Vartescoiu,NI,1,3428,3035.0,393.0,0,0.0,0,0.0,3428,3035.0,PD,PD,PD,NR,PD,3428,0,0,0,0,PD,PD,NR,NR,PD,3035.0,0.0,0.0,0.0,0.0,1.57,Extension of the collecting system,0,0,0,0,,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,27.084657,45.731142
bg,BGAG05339_00,Bolyartsi,CSA,1,2732,2653.0,79.0,382,318.0,0,0.0,2350,2335.0,NC,NC,NC,NR,NR,2350,382,382,0,0,?,NC,NR,NR,NC,2335.0,0.0,0.0,0.0,0.0,8.4,Building of a collecting system or IAS,0,1,0,0,,3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,24.957458,42.068763
bg,BGAG06149_00,Bratanitsa,NI,1,2034,2034.0,0.0,0,0.0,0,0.0,2034,2034.0,NC,NC,NC,NR,NR,2034,0,0,0,0,NC,NC,NR,NR,NR,2034.0,0.0,0.0,0.0,0.0,7.34,Building of a collecting system or IAS,0,1,0,0,,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,24.220138,42.165971
bg,BGAG06207_00,Bratsigovo,CSA,1,3939,3939.0,0.0,3860,3860.0,0,0.0,79,79.0,NC,C,NC,NR,NR,79,3860,3860,0,0,NC,C,NC,NR,NR,79.0,3860.0,3860.0,0.0,0.0,,,0,1,0,0,,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,24.369601,42.023135
bg,BGAG06286_00,Breznik,CSA,1,3874,3957.0,-83.0,3835,3917.0,0,0.0,39,40.0,NC,C,NC,NR,NR,39,3835,3835,0,0,NC,C,NC,NR,NR,40.0,3917.0,3917.0,0.0,0.0,,,0,1,0,0,,3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,22.90571,42.729271
bg,BGAG06306_00,Breznitsa,NA,1,3352,3352.0,0.0,2849,2849.0,0,0.0,503,503.0,NC,NC,NC,NR,NR,503,2849,2849,0,0,NC,NC,NC,NR,NR,503.0,2849.0,2849.0,0.0,0.0,1.6,Building of a collecting system or IAS,0,1,0,0,,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,23.641553,41.667959
bg,BGAG14492_00,Kresna,CSA,1,3274,3274.0,0.0,3209,3209.0,0,0.0,65,65.0,NC,C,NC,NR,NR,65,3209,3209,0,0,NC,C,NC,NR,NR,65.0,3209.0,3209.0,0.0,0.0,,,0,1,0,0,,4,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,23.160425,41.717487
bg,BGAG15944_00,Shivachevo,CSA,1,3568,3609.0,-41.0,0,541.0,0,0.0,3568,3068.0,NC,NC,NC,NR,NR,3568,0,0,0,0,NC,NC,NC,NR,NR,3068.0,541.0,541.0,0.0,0.0,12.87,Building of a collecting system or IAS,0,1,0,0,,3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,26.028428,42.686486
bg,BGAG17395_00,Gotse Delchev,NA,2,18988,20239.0,-1251.0,18988,19834.0,0,0.0,0,405.0,NC,C,NC,NR,NR,0,18988,18988,0,0,NC,C,NC,NR,NR,405.0,19834.0,19834.0,0.0,0.0,,,0,1,0,0,,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,23.719382,41.561828
bg,BGAG17484_00,Gradina,NI,1,2389,2207.0,182.0,0,0.0,0,0.0,2389,2207.0,NC,NC,NC,NR,NR,2389,0,0,0,0,NC,NC,NR,NR,NR,2207.0,0.0,0.0,0.0,0.0,8.62,Building of a collecting system or IAS,0,1,0,0,,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,25.208002,42.147239
